route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
107R,SU,110889755,R Line Peoria Station,0, 107 21,982018
107R,SU,110889756,R Line Peoria Station,0, 107 25,982018
107R,SU,110889757,R Line Peoria Station,0, 107 29,982018
107R,SU,110889758,R Line Peoria Station,0, 107 24,982018
107R,SU,110889759,R Line Peoria Station,0, 107 28,982018
107R,SU,110889760,R Line Peoria Station,0, 107 23,982018
107R,SU,110889761,R Line Peoria Station,0, 107 27,982018
107R,SU,110889762,R Line Peoria Station,0, 107 22,982018
107R,SU,110889763,R Line Peoria Station,0, 107 26,982018
107R,SU,110889764,R Line Peoria Station,0, 107 21,982018
107R,SU,110889765,R Line Peoria Station,0, 107 25,982018
107R,SU,110889766,R Line Peoria Station,0, 107 29,982018
107R,SU,110889767,R Line Peoria Station,0, 107 28,982018
107R,SU,110889768,R Line Peoria Station,0, 107 27,982018
107R,SU,110889769,R Line Peoria Station,0, 107 26,982018
107R,SU,110889770,R Line Peoria Station,0, 107 25,982018
107R,SU,110889771,R Line Peoria Station,0, 107 24,982018
107R,SU,110889772,R Line Peoria Station,0, 107 24,982018
107R,SU,110889773,R Line Peoria Station,0, 107 23,982018
107R,SU,110889774,R Line Peoria Station,0, 107 22,982018
107R,SU,110889775,R Line Lincoln Station,1, 107 26,982022
107R,SU,110889776,R Line Lincoln Station,1, 107 25,982022
107R,SU,110889777,R Line Lincoln Station,1, 107 24,982022
107R,SU,110889778,R Line Lincoln Station,1, 107 26,982022
107R,SU,110889779,R Line Lincoln Station,1, 107 22,982022
107R,SU,110889780,R Line Lincoln Station,1, 107 21,982022
107R,SU,110889781,R Line Lincoln Station,1, 107 24,982022
107R,SU,110889782,R Line Lincoln Station,1, 107 23,982022
107R,SU,110889783,R Line Lincoln Station,1, 107 24,982022
107R,SU,110889789,R Line Lincoln Station,1, 107 25,982022
107R,SU,110889790,R Line Lincoln Station,1, 107 28,982022
107R,SU,110889791,R Line Lincoln Station,1, 107 27,982022
107R,SU,110889792,R Line Lincoln Station,1, 107 26,982022
107R,SU,110889793,R Line Lincoln Station,1, 107 25,982022
107R,SU,110889794,R Line Lincoln Station,1, 107 28,982022
107R,SU,110889795,R Line Lincoln Station,1, 107 22,982022
107R,SU,110889796,R Line Lincoln Station,1, 107 21,982022
107R,SU,110889797,R Line Lincoln Station,1, 107 25,982022
107R,SU,110889798,R Line Lincoln Station,1, 107 29,982022
107R,SU,110889799,R Line Lincoln Station,1, 107 24,982022
107R,SU,110889800,R Line Lincoln Station,1, 107 28,982022
107R,SU,110889801,R Line Lincoln Station,1, 107 23,982022
107R,SU,110889802,R Line Lincoln Station,1, 107 27,982022
107R,SU,110889803,R Line Lincoln Station,1, 107 22,982022
107R,SU,110889804,R Line Lincoln Station,1, 107 26,982022
107R,SU,110889805,R Line Lincoln Station,1, 107 21,982022
107R,SU,110889806,R Line Lincoln Station,1, 107 25,982022
107R,SU,110889807,R Line Lincoln Station,1, 107 29,982022
107R,SU,110889808,R Line Lincoln Station,1, 107 24,982022
107R,SU,110889809,R Line Lincoln Station,1, 107 28,982022
107R,SU,110889810,R Line Lincoln Station,1, 107 23,982022
107R,SU,110889811,R Line Lincoln Station,1, 107 27,982022
107R,SU,110889812,R Line Lincoln Station,1, 107 22,982022
107R,SU,110889813,R Line Lincoln Station,1, 107 26,982022
107R,SU,110889814,R Line Lincoln Station,1, 107 21,982022
107R,SU,110889815,R Line Lincoln Station,1, 107 25,982022
107R,SU,110889816,R Line Lincoln Station,1, 107 29,982022
107R,SU,110889817,R Line Lincoln Station,1, 107 24,982022
107R,SU,110889818,R Line Lincoln Station,1, 107 28,982022
107R,SU,110889819,R Line Lincoln Station,1, 107 23,982022
107R,SU,110889820,R Line Lincoln Station,1, 107 27,982022
107R,SU,110889821,R Line Lincoln Station,1, 107 22,982022
107R,SU,110889822,R Line Lincoln Station,1, 107 26,982022
107R,SU,110889823,R Line Lincoln Station,1, 107 21,982022
107R,SU,110889824,R Line Lincoln Station,1, 107 29,982022
107R,SU,110889826,R Line Lincoln Station,1, 107 25,982022
107R,SU,110889827,R Line Lincoln Station,1, 107 28,982022
107R,SU,110889828,R Line Lincoln Station,1, 107 27,982022
107R,SU,110889829,R Line Lincoln Station,1, 107 27,982022
107R,SU,110889830,R Line Lincoln Station,1, 107 26,982022
107R,SU,110889831,R Line Lincoln Station,1, 107 25,982022
107R,SU,110889832,R Line Lincoln Station,1, 107 29,982022
107R,SU,110889833,R Line Lincoln Station,1, 107 24,982022
107R,SU,110889834,R Line Lincoln Station,1, 107 28,982022
107R,SU,110889835,R Line Lincoln Station,1, 107 23,982022
107R,SU,110889836,R Line Lincoln Station,1, 107 27,982022
107R,SU,110889837,R Line Lincoln Station,1, 107 22,982022
107R,SU,110889838,R Line Lincoln Station,1, 107 26,982022
107R,SU,110889839,R Line Lincoln Station,1, 107 21,982022
107R,SU,110889840,R Line Lincoln Station,1, 107 25,982022
107R,SU,110889841,R Line Lincoln Station,1, 107 29,982022
107R,SU,110889842,R Line Lincoln Station,1, 107 24,982022
107R,SU,110889843,R Line Lincoln Station,1, 107 28,982022
107R,SU,110889844,R Line Lincoln Station,1, 107 23,982022
107R,SU,110889845,R Line Lincoln Station,1, 107 27,982022
113B,FR,110970974,Union Station,0, 113  2,982120
113B,FR,110970975,Union Station,0, 113  2,982120
113B,FR,110970976,Union Station,0, 113  2,982120
113B,FR,110970977,Union Station,0, 113  1,982120
113B,FR,110970978,Union Station,0, 113  2,982120
113B,FR,110970979,Union Station,0, 113  1,982120
113B,FR,110970980,Union Station,0, 113  2,982120
113B,FR,110970981,Union Station,0, 113  1,982120
113B,FR,110970982,Union Station,0, 113  2,982120
113B,FR,110970983,Union Station,0, 113  2,982120
113B,FR,110970984,Union Station,0, 113  2,982120
113B,FR,110970985,Union Station,0, 113  2,982120
113B,FR,110970986,Union Station,0, 113  2,982120
113B,FR,110970987,Union Station,0, 113  2,982120
113B,FR,110970988,Union Station,0, 113  2,982120
113B,FR,110970993,Union Station,0, 113  2,982120
113B,FR,110970994,Union Station,0, 113  1,982120
113B,FR,110970995,Union Station,0, 113  2,982120
113B,FR,110970996,Union Station,0, 113  1,982120
113B,FR,110970997,Union Station,0, 113  2,982120
113B,FR,110970998,Union Station,0, 113  1,982120
113B,FR,110970999,Union Station,0, 113  1,982120
113B,FR,110971001,Westminster Station,1, 113  2,982128
113B,FR,110971002,Westminster Station,1, 113  2,982128
113B,FR,110971003,Westminster Station,1, 113  2,982128
113B,FR,110971004,Westminster Station,1, 113  2,982128
113B,FR,110971005,Westminster Station,1, 113  2,982128
113B,FR,110971006,Westminster Station,1, 113  1,982128
113B,FR,110971007,Westminster Station,1, 113  2,982128
113B,FR,110971008,Westminster Station,1, 113  1,982128
113B,FR,110971009,Westminster Station,1, 113  2,982128
113B,FR,110971010,Westminster Station,1, 113  1,982128
113B,FR,110971011,Westminster Station,1, 113  2,982128
113B,FR,110971012,Westminster Station,1, 113  1,982128
113B,FR,110971013,Westminster Station,1, 113  2,982128
113B,FR,110971014,Westminster Station,1, 113  2,982128
113B,FR,110971015,Westminster Station,1, 113  2,982128
113B,FR,110971016,Westminster Station,1, 113  2,982128
113B,FR,110971017,Westminster Station,1, 113  2,982128
113B,FR,110971018,Westminster Station,1, 113  2,982128
113B,FR,110971019,Westminster Station,1, 113  2,982128
113B,FR,110971020,Westminster Station,1, 113  1,982128
113B,FR,110971021,Westminster Station,1, 113  2,982128
113B,FR,110971022,Westminster Station,1, 113  1,982128
113B,FR,110971023,Westminster Station,1, 113  2,982128
113B,FR,110971024,Westminster Station,1, 113  1,982128
113B,FR,111145411,Union Station,0, 113  2,982120
113B,MT,110891110,Union Station,0, 113  2,982120
113B,MT,110891112,Union Station,0, 113  2,982120
113B,MT,110891113,Union Station,0, 113  2,982120
113B,MT,110891114,Union Station,0, 113  2,982120
113B,MT,110891115,Union Station,0, 113  1,982120
113B,MT,110891116,Union Station,0, 113  2,982120
113B,MT,110891117,Union Station,0, 113  1,982120
113B,MT,110891118,Union Station,0, 113  2,982120
113B,MT,110891119,Union Station,0, 113  1,982120
113B,MT,110891120,Union Station,0, 113  2,982120
113B,MT,110891121,Union Station,0, 113  2,982120
113B,MT,110891122,Union Station,0, 113  2,982120
113B,MT,110891123,Union Station,0, 113  2,982120
113B,MT,110891124,Union Station,0, 113  2,982120
113B,MT,110891125,Union Station,0, 113  2,982120
113B,MT,110891126,Union Station,0, 113  2,982120
113B,MT,110891135,Union Station,0, 113  2,982120
113B,MT,110891136,Union Station,0, 113  1,982120
113B,MT,110891137,Union Station,0, 113  2,982120
113B,MT,110891138,Union Station,0, 113  1,982120
113B,MT,110891139,Union Station,0, 113  2,982120
113B,MT,110891140,Union Station,0, 113  1,982120
113B,MT,110891141,Union Station,0, 113  1,982120
